_id,prefix,suffix,oldPart,newPart,prevSent,nextSent,label
ObjectID(5527e029a21edceb734d15c2),"Though their marriage","considered the rare Hollywood success, rumors of trouble began circulating, and the Pitts announced their separation on January 7, 2005.","for years was","was, for years,","Under the settlement reached in January 2002, Pitt would design jewelry for Damiani that Aniston would model in ads, and the company would stop selling the copies.","As Pitt's marriage to Jennifer Aniston drew to a close, he and Angelina Jolie were involved in a well-publicized Hollywood scandal in which Jolie was often painted as the ""other woman"" who caused the divorce.","Paraphrase"
ObjectID(5527ec0ea21e3a63c2ac99d1),"","focused more on tax cuts and increased military spending (Reaganomics) than on reducing the national debt.","A type of fiscal conservatism","Fiscal policy","Among the positions that he propelled forward are the following:","Opposition to progressive taxation, government regulation in business and enviromental concerns, and abortion.","X"
ObjectID(5527d94ca21edceb734d0c4f),"Unlike many Hollywood celebrities he has remained largely non-political, working with both Republicans and Democrats, and using his celebrity status to help fight","","poverty and disease.","poverty, disease and improve global environmental conditions.","The philanthropic Pitt has been an active supporter of research into diseases, such as AIDS, which has had a devastating impact on Africa and other poor regions.","He was nominated for an Academy Award as Best Supporting Actor for his performance in the 1995 film Twelve Monkeys.","Factual"
ObjectID(5527e573a21e3a63c2ac8057),"The following season began with","the first ever Charity Shield – and ended with the club's first FA Cup title.","United picking up another piece of silverware –","victory in","After a second place finish in the 1905–06 Second Division season, Manchester United were promoted to the First Division, in which they won their first league title in 1908.","The club would have to wait another two years before winning any more silverware – winning the First Division for the second time in the 1910–11 season – which would prove to be the last time the club won the First Division for 41 years (the longest they have gone without winning the league in their history).Barnes et al.","X"
ObjectID(5527e5b8a21edceb734d3bcf),"","FRS (3 September 1728 &ndash; 17 August 2010) was an English manufacturer and business partner of Scottish engineer James Watt.","Fred Norm likes cheese,","Matthew Boulton,","","In the final quarter of the 18th century the partnership installed hundreds of Boulton & Watt steam engines, which were a great advance on the state of the art, making possible the mechanisation of factories and mills.","Other"
ObjectID(5527dc85a21e3a63c2ac5978),"The Peruvian elite  remained hesitant between emancipation and loyalty to the Crown thus, independence","","being proclaimed by the former on July 28, 1821.","was only achieved as a result of the military","By the early 19th-century, while most of South America was swept by wars of independence Peru remained a royalist stronghold.","Republic of Peru","Factual"
ObjectID(5527ee61a21e5709f6e9b4ce),"The British","and insisted only on the delivery of the monuments.","gave in","demanded all materials to be forfeit, and property of","After the French surrender, a dispute arose over the fate of French archaelogical and scientfic discoveries in Egypt.","The French tried to hide the Rosetta Stone in a boat despite the clauses of the capitulation, but failed.","Factual"
ObjectID(5527ed06a21edceb734d60b2),"They secure the television station which is broadcasting rebel propaganda, but the revolutionary leader","","eludes their grasp.","had already escaped.","A platoon from the USMC 1st Force Recon under the command of Lieutenant Vasquez rappels down from their UH-60 Black Hawk and searches the town for Al-Asad.","During the night, while the main USMC forces gradually push Al-Asad's forces back to his capital city, Vasquez's men secure a disable M1A2 Abrams main battle tank and escort it back to the highway.","Paraphrase"
ObjectID(5527f3c5a21e0e4c0a9e066f),"Supernova searches fall into two classes: those focussed on relatively nearby","","and those at a more extreme distance.","events and those looking for explosions farther away."," A neutrino is a particle that is produced in great quantities by a supernova explosion, and it is not obscured by the interstellar gas and dust of the galactic disk.","Due to the expansion of the universe, the distance of a remote object can be estimated by measuring the Doppler shift (or redshift) of its spectrum; on average, more distant objects will be receding with greater velocity than those nearby, and so will have a higher redshift.","X"
ObjectID(5527d673a21e4a5a1c9383d3),"Though the article was unnoticed in the UK, there was a severe backlash by conservative religious groups","","mainly in the rural South and Midwest states.","in the U.S. Radio stations banned the group's recordings, and their albums and other products were burned and destroyed.","Regardless, when read in the proper context of the article, Lennon sounds actually saddened that a rock group such as The Beatles became more important to many people than spirituality.","Radio stations banned the group's recordings, and their albums and other products were burned and destroyed.","X"
ObjectID(5527dd25a21e4a5a1c939dfb),"The Germans managed to capture in Kalamata around 7,000 Commonwealth and Yugoslav troops who had not been evacuated, while liberating many Italian prisoners from POW","","camps.Smith, p.","camps.Richter (1998), 595* Smith (1953), 112","Because of this event, the Germans realized that the evacuation was also taking place from the ports of East Peloponnese.Richter (1998), 584 On April 25, 4,700 more Australians were evacuated from Megara, and the few RAF squadrons left Greece; d'Albiac established his headquarters in Heraklion, Crete.Richter (1998), 585 The evacuation of about 43,000 soldiers was completed on April 28, but was heavily contested by the German Luftwaffe, which managed to sink at least twenty-six troop-laden ships.","112","Factual"
ObjectID(5527df9aa21edceb734d103c),"In 1991, Pitt starred as Joe Maloney in Across the Tracks in which he portrayed a young Californian athlete with a difficult criminal","","of a brother.","brother played by Rick Schroeder.","1991-1993","However, Pitt finally got his big break in one of that year's biggest hits: Thelma & Louise with a 15-minute mega-performance, showing off his toned physique, giving Geena Davis a good seeing to and then robbing her blind.","Factual"
ObjectID(5527ec6ba21e5709f6e9a2e0),"His principal work during these years was as a hydrographic surveyor, providing the navy with charts","accompanied by well-executed landscape drawings.","from all over the world, often","which were frequently","Apart from a brief period ashore in 1805, Heywood remained at sea in a succession of commands until 1816.","This skill may well have been the result of Bligh's tutelege in the earlier stages of the Bounty voyage; Bligh had written of Christian and Heywood: ""These two had been objects of my particular regard and attention, and I had taken great pains to instruct them.""Tagart, pp.","X"
ObjectID(5527d652a21e4a5a1c9381e2),"In Tasimboko, Edson's troops discovered","of food, ammunition, and medical supplies, and a powerful shortwave radio.","""vast stockpiles""","the supply base for Kawaguchi's forces, including large stockpiles","95–96.","The Marines seized documents and equipment, destroyed everything else in sight, and returned to the Lunga perimeter at 17:30.","Factual"
ObjectID(5527eb6aa21e5709f6e9994c),"Like the noble gas krypton , xenon can also be extracted by fractional distillation or liquefaction of liquid air and by selective adsorption on","","carbon (sort of coal).","activated carbon.","Extraction","Compounds","X"
ObjectID(5527d5d2a21e3a63c2ac2df2),"However, she is Jewish-American, not Italian, and has no","","royal connections.","connection to any title of nobility.","This consistent use of the original store name through her books, television show, and product line has led her fans to refer to her as simply ""the Contessa"".","Influences and rise to fame","Paraphrase"
ObjectID(5527e36fa21e0e4c0a9dcec1),"","to an end.","There is surely more to come before Sir Alex Ferguson's reign as manager comes","Having finished thrid in three out of the last four years, United's time may be coming","United have since maintained their reputation as one of the world's top club sides by winning three more Premiership titles and one FA Cup since the treble success.","Middlesbrough","Factual"
ObjectID(5527db4ca21e0e4c0a9dab84),"","","The Ming dynasty emperors would eventually be members of the Zhu family.","hey yall the ming dynasty is kool so be cool and look for it!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!11","The revolt, led by Zhu Yuanzhang, established the Ming Dynasty in 1368.","After many years of fighting, the rebel group led by Zhu Yuanzhang, secretly assisted by an ancient, highly secret, intellectual fraternity called the Summer Place people, became the most powerful of the various Han Chinese groups.","Other"
ObjectID(5527ec0ea21e3a63c2ac99d6),"Many socially conservative commentators saw Reagan's handling of the AIDS crisis as a common sense approach","social immorality whose scope was not yet fully appreciated.","to a problem of","for a problem they believed was caused by","The most memorable ACT UP slogan confronting the Reagan/Bush stance was SILENCE= DEATH.","Many in the gay and lesbian communities and many people with AIDS, on the other hand, see his policies as anything from politically motivated willful blindness to outright contempt for the lives of non-heterosexuals.","Factual"
ObjectID(5527dfcaa21e3a63c2ac6784),"The script necessitated","designs, including a new USS Enterprise.","several new Starfleet ship","the creation of new starship","After two better known directors turned down the job, cast member Jonathan Frakes was chosen to direct to make sure the task fell to someone who understood Star Trek.","Production designer Herman Zimmerman and illustrator John Eaves collaborated to create a sleeker ship than its predecessor.","X"
ObjectID(5527d606a21e3a63c2ac2edf),"Under the guidance of","Garten reemerged in 1999 with her attention turned to the publishing industry.","Missus Pants and her advisor Roxie Boxer,","her husband,","thumb|right|Barefoot Contessa Cookbook","She carried on with the Barefoot Contessa name in her 1999 sleeper bestseller, The Barefoot Contessa Cookbook.","X"
ObjectID(5527db76a21e3a63c2ac5408),"Another 5% of peruvians are of African descent, especially in  coastal cities","Cañete, Chincha, Ica, as well as in the Peruvian North.","such as Lima,","of south of Lima in Ica Region like","The majority of them live in Peru's largest cities of the caost including Trujillo, Chiclayo, Piura and Lima.","Few black Peruvians identify themsleves as black, most common terms are Zambos (Mix Amerindian with black) and Mulatos (Mix white/criollo with black).","Factual"
ObjectID(5527f5b7a21e3a63c2acb82d),"","two-term governor Edmund G. ""Pat"" Brown, and was sworn into office on January 3, 1967.","He defeated","In Reagan's campaign, he emphasized two main themes: ""to send","California Republicans were impressed with Reagan's political views and charisma after his ""Time for Choosing"" speech, and nominated him for Governor of California in 1966.","In his first term, he froze government hiring and approved tax hikes to balance the budget.Cannon, (2001), p.","X"
ObjectID(5527d6f7a21e4a5a1c938826),"He lived in","class section of Liverpool from which The Beatles emerged.","the working","a fairly middle","While Lennon had little exposure to his Irish heritage growing up, he came to identify with it later in life.","On 15 July, 1958, when Lennon was 17, Julia was killed after being struck by a car driven by a drunk off-duty police officer.","Paraphrase"
ObjectID(5527e98da21e3a63c2ac91e5),"Snowfall is quite common between the months of December and March, snowing","be heavy once it snows.","only for few days or a week, but it could","for a week or two, but it can","Summer is by far the driest season, although there is no real summer drought as rain does occur all year round, and so the climate cannot be considered Mediterranean."," The city is also quite windy, having an average wind speed of 17 km/h (11 mph).","X"
ObjectID(5527edafa21e3a63c2aca4da),"In 1921, at the age of 10, Reagan was baptized","(although his brother, Neil, became a Catholic, like his father).","in his mother's Disciples of Christ church in Dixon","Catholic but never stayed a member of the Catholic church","In 1920, after years of moving from town to town, the family settled in Dixon, Illinois.","In 1924 Ronald Reagan began attending Dixon's Northside High School.","Paraphrase"
ObjectID(5527ea25a21e5709f6e9903c),"","decided to link the two lines at Ramsgate to allow through running between the two lines.","It was","The Southern Railway","Following the railway grouping of 1923, both the South Eastern Railway and the London, Chatham & Dover Railway became a part of the newly formed Southern Railway, which decided to address the duplication of lines and stations at Ramsgate and Margate.","This scheme had been proposed by the South Eastern and Chatham Railway before World War I, but work did not commence until 1925.Mitchell and Smith, § 104 This meant the closure of the terminus stations at Ramsgate Town and Ramsgate Harbour, and the construction of a line skirting the northern edge of the town to link the two existing lines.","X"
ObjectID(5527ec9ba21edceb734d5e2e),"A new laptop spawns after the old one has been re-captured or when the team holding the laptop does so for","whichever comes first.","65 seconds,","a preset amount of time,","If multiple players from the same team are within this area, the laptop is captured more quickly.","The first team to capture the laptop has the advantage, for the new HQ always appears closer and easier to access to the dominating team.","Factual"
ObjectID(5527ef04a21e0e4c0a9de907),"2–3 These remarks, perceived as pro-German,","perfect hail of denunciation"".Lockahrt, p.","received a storm of protest, ""hundreds of letters and scurrilous postcards, a","produced what Lang termed ""a","246-47 At a meeting in York in November 1914 he spoke out against excessive anti-German propaganda, and recalled a ""sacred memory"" of the Kaiser kneeling with King Edward VII at the bier of Queen Victoria. pp.","249  The strain of this period, coupled with the onset of alopecia, drastically altered Lang's appearance within months, from a young-looking dark-haired man to a bald and elderly-looking man. His friends were shocked; the King, meeting him on the Royal train, apparently burst into guffaws of laughter.Lockhart, p.","X"
ObjectID(5527d6cba21edceb734d0189),"PMID 10852536, but the meaning of this fact remains controversial and has led some researchers","MS is a heterogeneous disease.","it means that","to believe","Four different damage patterns have been identified in the scars of the brain tissueLucchinetti, C. Bruck, W. Parisi, J. Scherhauer, B. Rodriguez, M. Lassmann, H.Heterogeneity of multiple sclerosis lesions: implications for the pathogenesis of demyelination Ann Neurol, 2000; 47(6):707-17.","Other teams maintain that the shape of the scars can change from one type to another and this could be a marker of the disease action time.","X"
ObjectID(5527e40ba21e5709f6e97236),"The head and wings are","and the bill is shity pink.","black, the abdomen white, the back bluish-gray","blue, the ass brown, the white bluish-red","The largest known individual was about 46&nbsp;kg (101&nbsp;lb).","On the sides of the neck there are two golden circular nipples.","Other"
ObjectID(5527decda21e0e4c0a9db5d2),"Other than the","other medium weight draft horses.","coloration there are no notable conformation points outside of those found on","coloration, the American Cream physically resembles","Only the cream color is permitted in the breed.","See also","Factual"
ObjectID(5527e3e0a21e0e4c0a9dd33a),"The FA Premier League (often referred to as the Barclays Premiership in the UK and the Barclays English Premier League internationally) is","football league competition.","England’s top","a league competition for football clubs located at the top of the English","","It is the world’s most watched sporting league and most lucrative football league, followed by over a billion people.","X"
ObjectID(5527ec49a21e5709f6e99d11),"Robert Brunner, Apple's head of industrial","the design team at Apple that developed the laptop, including its granite color and trackball.cite news","design, lead","design at the time, led","Sony president Norio Ohga gave project manager Kihey Yamamoto permission to hire engineers from any Sony division.","| last = Lefton","Paraphrase"
ObjectID(5527dd43a21e5709f6e94df2),"the rather unspecified term ""severely"" inherits the risk of a cut being deemed as too severe by","","the Prophet Muhammad and/or Allah.","Muhammad and/or God.","| accessdate = ","Most contemporary scholars reject this Hadith completely.","Paraphrase"
ObjectID(5527e01da21e3a63c2ac687b),"Boz's Juba became an oral sex sensation in Britain for his","","dance style.","wide oral opening.","In 1848, a dancer dubbed ""Boz's Juba"" (believed to have been the same man) traveled to London with the Ethiopian Serenaders, an otherwise white minstrel troupe.","He was a critical favorite and the most written about performer of the 1848 season.","Factual"
ObjectID(5527d66aa21e5709f6e932df),"In the morning of December 8, 1980, in New York City, a","Mark David Chapman of Honolulu, asked for an autograph from Lennon, which he received.","mentally deranged fan,","fan described as ""obsessed""  ,","Murder and memorial","Chapman remained in the vicinity of the Dakota Apartments for most of that day, probably sneaking into the carriage vestibule of the Dakota as a fireworks demonstration in central Park about 9 pm distracted the doorman and most in the street.","Paraphrase"
ObjectID(5527d915a21edceb734d0aa0),"Also taking part was a","much faster action.","radical wing of the Reformation who demanded","group of young men demanding a","His opponent was the aforementioned canon, Konrad Hofmann, who had initially supported Zwingli's election.","This group was led by Conrad Grebel who would eventually found the Anabaptist movement, a group that placed particular importance on adult baptisms and the rejection of infant baptism.","Factual"
ObjectID(5527d6f7a21e4a5a1c938805),"He lived in the working class section of Liverpool from which","emerged.","Jeremy davies mood blues","The Beatles","While Lennon had little exposure to his Irish heritage growing up, he came to identify with it later in life.","Lennon developed severe myopia as he grew up and had to wear glasses.","Factual"
ObjectID(5527d907a21e0e4c0a9da024),"Since its opening, 300 has attracted controversy over its portrayal of","","ancient Persians.","people of the Persian Empire.","right|150px|thumb|A 300 movie poster depicting a ""monster"" of the Persian army.","Various critics, experts, journalists, and officials of the Iranian government including President Mahmoud Ahmadinejad have denounced the film.cite news | url= title=Iran outraged by Hollywood war epic“300”","Paraphrase"
ObjectID(5527d894a21e0e4c0a9d9ca3),"Reviews including Slate.com's point out the ""bad guys"" are depicted as black people, the Persians as brown people, and handicapped or deformed","","people, gays and lesbians.","people as homosexuals.","Iranians worldwide have been protesting the movie which they say offers an ""inaccurate and derogatory depiction of ancient Persians."" Thousands of Iranians have signed an online petition addressed to the producers of the film 300, criticizing them for what they say is a distortion of historical fact.","In particular, the traitor Ephialtes is portrayed as a hunchback as in the graphic novel; however, historically there is no mention that Ephialtes was a hunchback.Slate - A Movie Only a Spartan Could Love","Paraphrase"
ObjectID(5527d9ada21e0e4c0a9da1f0),"Outraged and offended at their behavior, King Leonidas kicks the messenger into a","suffer the same fate.","pit; the other messengers","pit and his guards","Dilios then tells the story of the Persian messengers arriving at Sparta and demanding Sparta's submission to King Xerxes.","Resolving to face the Persians, Leonidas visits the Oracle, proposing a strategy to repel the numerically superior enemy, and offers the priests a customary payment in gold.","Factual"
ObjectID(5527db92a21e4a5a1c93994b),"","Playboy interview, Lennon was quoted as saying: ""Sean was a planned child, and therein lies the difference.","In his 1980","Lennon told","My memories of that time with Dad and May are very clear - they were the happiest time I can remember with them.""","I don't love Julian any less as a child.","Factual"
ObjectID(5527d876a21e3a63c2ac3e03),"The bassist's return to New York in September","Jon, England's Dreaming, pp.","made clear that the Sex Pistols had no future.Savage,","suggested that there was no future in McLaren's dream.Savage,","McLaren was seeking to reconstitute the band with a new frontman, but Vicious had sickened of him.","491–492, 497–503.","X"
ObjectID(5527d693a21e0e4c0a9d9004),"The voyage of Missouri to the eastern Mediterranean","","comforted Greece and Turkey.","symbolized America's strategic commitment to the region.","The Soviets were also pushing for concessions in the Dodecanese to be included in the peace treaty with Italy and for access through the Dardanelles strait between the Black Sea and the Mediterranean.","News media proclaimed her a symbol of U.S. interest in preserving both nations' independence.","X"
ObjectID(5527d945a21e3a63c2ac4195),"Built to Young's design, the handcarts","and a single axle, resembling a wheelbarrow.","had two large wheels","resembled a large  wheelbarrow, with two wheels five feet in diameter","The emigrants would then travel by railroad to Iowa City, Iowa—the western terminus of the rail line—where they would be outfitted with handcarts and other supplies.","The carts used in the first year's migration were made entirely of wood (""Iowa hickory or oak""); in the later years a stronger design was substituted that included metal elements.","Paraphrase"
ObjectID(5527edf2a21edceb734d6434),"However, the","leveling most of the city and killing everyone in the area but they all get potions and survive coz it's got witchcraft.","volcano suddenly  erupts","nuclear device suddenly detonates,","During the final stages of the operation, United States Central Command is notified by SEAL Team Six of a Russian nuclear weapon nearby, and sends the NEST to disarm it.","everyone catches ray cvs devo but they use powers to escape and then someone detonates a big helicopter explosion that michael bay made using special features on the bonus dvd extra.","Factual"
ObjectID(5527d8dda21edceb734d09af),"His legacy lives on","confessions of the Reformed churches of today.","in the basic","today in the","Zwingli was killed in battle at the age of 47.","He can rightfully be called, after Martin Luther and John Calvin, the ""Third Man of the Reformation"".","Factual"
ObjectID(5527eca6a21edceb734d5e66),"","these characters from a first-person perspective.","As the player, you control","During the single player campaign","Player Characters","Sergeant John ""Soap"" MacTavish is a member of the 22nd SAS Regiment.","X"
ObjectID(5527da1fa21e3a63c2ac4705),"The unnamed","finds an old vellum-bound book with a woodcut of a dragon in the center.","sixteen-year-old narrator","narrator, telling the story retrospectively,","Part I opens in 1972 Amsterdam.","When she asks her father Paul about it, he tells her how he found the handmade book in his study carrel when he was a graduate student in the 1950s.","Paraphrase"
ObjectID(5527e326a21edceb734d28c2),"","ruled by the Indian National Congress.","For most of its democratic history, India has been","From 1947 to 1974 India was","Most of the state of Arunachal Pradesh is still claimed by China.","The party enjoyed a parliamentary majority barring two brief periods during the 1970s and late 1980s.","Factual"
ObjectID(5527ea58a21e5709f6e9926f),"Children's names are given","and are usually chosen after dead relatives.","based on kinship","on the basis of kinship,","Each person belongs to both the mother's and the father's families, the only bilateral family line in Indonesia. Children, therefore, inherit household affiliation from both mother and father, including land and even family debts.","Names of aunts, uncles, and cousins are commonly referred to in the names of mothers, fathers and siblings.","Paraphrase"
ObjectID(5527da77a21e3a63c2ac4968),"There was also a series of highly-acclaimed stereo recordings with the orchestra, released by Pye in the U.K. and by Vanguard","","in the U.S.","and Angel Records in the U.S..","His ""new Hallé"" can be heard today in recordings of symphonies by Bax and Vaughan Williams, made in wartime Manchester.","Barbirolli conducted the orchestra for twenty-five years, in many cities including the Cheltenham Festival, where he premiered many new works.","Factual"
ObjectID(5527d8d1a21e3a63c2ac3ee4),"Glen Matlock, an art student who occasionally worked at Too Fast to Live,","was recruited as the band's regular bassist.Savage, Jon.","DO NOT TOUCH LITTLE KIDS NAMED BILLY,","Too Young to Die,","Effectively becoming the group's manager, McLaren paid for their first formal rehearsal space.","England's Dreaming, pp.","Other"
ObjectID(5527f260a21e3a63c2acb186),"In 1994, five years after leaving office, Reagan","with Alzheimer's Disease, and died ten years later at the age of ninety-three.","disclosed that he had been afflicted","was diagnosed","He rejected détente and confronted Communism, famously portraying the USSR as an ""Evil Empire"" and bolstering anti-Communist movements worldwide.  Reagan negotiated with Soviet Premier Mikhail Gorbachev to shrink both countries' nuclear arsenals and help bring a peaceful end to the Cold War.","Early life","Factual"
ObjectID(5527d64ca21e5709f6e93107),"No match for the larger-gunned, more modern Japanese destroyers, the U.S. ships were sunk","33 crewmen killed.Frank,  Guadalcanal, p.","immediately with the loss of","immediately, with","These two ships were the small, old destroyer transports (called ""APDs"" by the U.S. Marines) Little and Gregory that were used to shuttle Allied troops around the Guadalcanal/Tulagi area.","211-212 and Morison, Struggle for Guadalcanal, p.","Paraphrase"
ObjectID(5527e542a21edceb734d384c),"","live-action video, but the real-time 3D characters are highly detailed, and employ motion capture from real actors.","Myst V does not feature any","Instead Myst V features","The Myst franchise has traditionally employed live actors to play all of the roles, including the series co-creator Rand Miller, who plays the protagonist Atrus.","Ages","X"
ObjectID(5527f120a21e3a63c2acaf30),"Reagan is credited with hastening the collapse of","and many of his supporters give him credit for helping to bring down the Berlin Wall.","Soviet communism,","the Soviet Union,","Reagan negotiated with Mikhail Gorbachev to shrink both countries' nuclear arsenals and help bring a peaceful end to the Cold War.","","Factual"
